,iso_code,2019,2020,2021,sum_new_cases,sum_new_deaths,sum_new_cases_per_million,sum_new_deaths_per_million,average_icu_patients,average_icu_patients_per_million,average_hosp_patients_per_million
0,ABW,31650.7605367511,24487.8635601966,29342.1008575886,55.0,0.0,516.629,0.0,0.0,0.0,0.0
1,ABW,31650.7605367511,24487.8635601966,29342.1008575886,45.0,2.0,422.6979999999999,18.785999999999998,0.0,0.0,0.0
2,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1.0,1.0,9.392999999999999,9.392999999999999,0.0,0.0,0.0
3,ABW,31650.7605367511,24487.8635601966,29342.1008575886,2.0,0.0,18.787,0.0,0.0,0.0,0.0
4,ABW,31650.7605367511,24487.8635601966,29342.1008575886,18.0,0.0,169.079,0.0,0.0,0.0,0.0
5,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1885.0,7.0,17706.346,65.75099999999999,0.0,0.0,0.0
6,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1957.0,17.0,18382.661999999997,159.685,0.0,0.0,0.0
7,ABW,31650.7605367511,24487.8635601966,29342.1008575886,550.0,12.0,5166.306,112.718,0.0,0.0,0.0
8,ABW,31650.7605367511,24487.8635601966,29342.1008575886,332.0,7.0,3118.5699999999997,65.75099999999999,0.0,0.0,0.0
9,ABW,31650.7605367511,24487.8635601966,29342.1008575886,644.0,4.0,6049.274999999998,37.57299999999999,0.0,0.0,0.0
10,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1477.0,10.0,13873.885999999999,93.931,0.0,0.0,0.0
11,ABW,31650.7605367511,24487.8635601966,29342.1008575886,925.0,14.0,8688.792,131.507,0.0,0.0,0.0
12,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1552.0,13.0,14578.382000000003,122.10999999999999,0.0,0.0,0.0
13,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1195.0,13.0,11224.978999999998,122.112,0.0,0.0,0.0
14,ABW,31650.7605367511,24487.8635601966,29342.1008575886,347.0,8.0,3259.466999999999,75.145,0.0,0.0,0.0
15,ABW,31650.7605367511,24487.8635601966,29342.1008575886,153.0,0.0,1437.1710000000005,0.0,0.0,0.0,0.0
16,ABW,31650.7605367511,24487.8635601966,29342.1008575886,592.0,3.0,5560.826999999999,28.178999999999995,0.0,0.0,0.0
17,ABW,31650.7605367511,24487.8635601966,29342.1008575886,2846.0,36.0,26733.294,338.16,0.0,0.0,0.0
18,ABW,31650.7605367511,24487.8635601966,29342.1008575886,924.0,20.0,8679.395999999999,187.863,0.0,0.0,0.0
19,ABW,31650.7605367511,24487.8635601966,29342.1008575886,425.0,5.0,3992.1440000000007,46.964999999999996,0.0,0.0,0.0
20,ABW,31650.7605367511,24487.8635601966,29342.1008575886,429.0,3.0,4029.721000000001,28.178999999999995,0.0,0.0,0.0
21,ABW,31650.7605367511,24487.8635601966,29342.1008575886,4107.0,7.0,38578.232,65.752,0.0,0.0,0.0
22,ABW,31650.7605367511,24487.8635601966,29342.1008575886,12539.0,12.0,117782.433,112.72,0.0,0.0,0.0
23,ABW,31650.7605367511,24487.8635601966,29342.1008575886,684.0,18.0,6425.008,169.079,0.0,0.0,0.0
24,ABW,31650.7605367511,24487.8635601966,29342.1008575886,282.0,1.0,2648.907,9.392999999999999,0.0,0.0,0.0
25,ABW,31650.7605367511,24487.8635601966,29342.1008575886,880.0,59.0,8266.093,554.2040000000001,0.0,0.0,0.0
26,ABW,31650.7605367511,24487.8635601966,29342.1008575886,2188.0,1.0,20552.512,9.392999999999999,0.0,0.0,0.0
27,ABW,31650.7605367511,24487.8635601966,29342.1008575886,3684.0,8.0,34604.869999999995,75.14699999999999,0.0,0.0,0.0
28,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1362.0,3.0,12793.657000000001,28.18,0.0,0.0,0.0
29,ABW,31650.7605367511,24487.8635601966,29342.1008575886,768.0,3.0,7214.046,28.18,0.0,0.0,0.0
30,ABW,31650.7605367511,24487.8635601966,29342.1008575886,122.0,3.0,1145.981,28.18,0.0,0.0,0.0
31,ABW,31650.7605367511,24487.8635601966,29342.1008575886,1218.0,2.0,11441.024000000001,18.787,0.0,0.0,0.0
32,ABW,31650.7605367511,24487.8635601966,29342.1008575886,307.0,4.0,2883.739,37.571999999999996,0.0,0.0,0.0
33,ABW,31650.7605367511,24487.8635601966,29342.1008575886,111.0,44.0,1042.655,413.305,0.0,0.0,0.0
34,ABW,31650.7605367511,24487.8635601966,29342.1008575886,241.0,1.0,2263.782,9.392999999999999,0.0,0.0,0.0
35,ABW,31650.7605367511,24487.8635601966,29342.1008575886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AFG,500.522664145294,516.866552182696,368.754614175459,5.0,0.0,0.122,0.0,0.0,0.0,0.0
37,AFG,500.522664145294,516.866552182696,368.754614175459,163.0,4.0,3.9639999999999995,0.097,0.0,0.0,0.0
38,AFG,500.522664145294,516.866552182696,368.754614175459,1661.0,56.0,40.385999999999996,1.3599999999999999,0.0,0.0,0.0
39,AFG,500.522664145294,516.866552182696,368.754614175459,13353.0,194.0,324.66400000000004,4.715000000000001,0.0,0.0,0.0
40,AFG,500.522664145294,516.866552182696,368.754614175459,16265.0,485.0,395.46599999999995,11.793999999999997,0.0,0.0,0.0
41,AFG,500.522664145294,516.866552182696,368.754614175459,5183.0,536.0,126.017,13.030999999999997,0.0,0.0,0.0
42,AFG,500.522664145294,516.866552182696,368.754614175459,1620.0,131.0,39.38700000000002,3.186999999999999,0.0,0.0,0.0
43,AFG,500.522664145294,516.866552182696,368.754614175459,1106.0,56.0,26.891999999999996,1.362,0.0,0.0,0.0
44,AFG,500.522664145294,516.866552182696,368.754614175459,1980.0,71.0,48.13899999999999,1.7259999999999995,0.0,0.0,0.0
45,AFG,500.522664145294,516.866552182696,368.754614175459,4881.0,230.0,118.678,5.592999999999999,0.0,0.0,0.0
46,AFG,500.522664145294,516.866552182696,368.754614175459,6115.0,426.0,148.68099999999998,10.357,0.0,0.0,0.0
47,AFG,500.522664145294,516.866552182696,368.754614175459,2693.0,211.0,65.477,5.13,0.0,0.0,0.0
48,AFG,500.522664145294,516.866552182696,368.754614175459,691.0,43.0,16.803000000000004,1.0440000000000003,0.0,0.0,0.0
