location,Month-Year,new_cases
Angola,Feb-22,625
Angola,Mar-22,428
Angola,Apr-22,118
Angola,May-22,474
Angola,Jun-22,1559
Angola,Jul-22,981
Angola,Aug-22,335
Angola,Sep-22,495
Angola,Oct-22,0
Angola,Nov-22,1545
Angola,Dec-22,419
Angola,Jan-23,89
Angola,Feb-23,0
Anguilla,Mar-20,2
Anguilla,Apr-20,1
Anguilla,May-20,0
Anguilla,Jun-20,0
Anguilla,Jul-20,0
Anguilla,Aug-20,0
Anguilla,Sep-20,0
Anguilla,Oct-20,0
Anguilla,Nov-20,3
Anguilla,Dec-20,7
Anguilla,Jan-21,3
Anguilla,Feb-21,2
Anguilla,Mar-21,7
Anguilla,Apr-21,68
Anguilla,May-21,16
Anguilla,Jun-21,0
Anguilla,Jul-21,4
Anguilla,Aug-21,104
Anguilla,Sep-21,192
Anguilla,Oct-21,535
Anguilla,Nov-21,442
Anguilla,Dec-21,288
Anguilla,Jan-22,650
Anguilla,Feb-22,231
Anguilla,Mar-22,145
Anguilla,Apr-22,88
Anguilla,May-22,415
Anguilla,Jun-22,253
Anguilla,Jul-22,124
Anguilla,Aug-22,257
Anguilla,Sep-22,28
Anguilla,Oct-22,1
Anguilla,Nov-22,38
Anguilla,Dec-22,0
Anguilla,Jan-23,0
Anguilla,Feb-23,0
Antigua and Barbuda,Mar-20,7
Antigua and Barbuda,Apr-20,17
Antigua and Barbuda,May-20,2
Antigua and Barbuda,Jun-20,43
Antigua and Barbuda,Jul-20,23
Antigua and Barbuda,Aug-20,3
Antigua and Barbuda,Sep-20,7
Antigua and Barbuda,Oct-20,27
Antigua and Barbuda,Nov-20,13
Antigua and Barbuda,Dec-20,18
Antigua and Barbuda,Jan-21,75
Antigua and Barbuda,Feb-21,496
Antigua and Barbuda,Mar-21,406
Antigua and Barbuda,Apr-21,96
Antigua and Barbuda,May-21,29
Antigua and Barbuda,Jun-21,3
Antigua and Barbuda,Jul-21,40
Antigua and Barbuda,Aug-21,412
Antigua and Barbuda,Sep-21,1516
Antigua and Barbuda,Oct-21,827
Antigua and Barbuda,Nov-21,83
Antigua and Barbuda,Dec-21,142
Antigua and Barbuda,Jan-22,2344
Antigua and Barbuda,Feb-22,810
Antigua and Barbuda,Mar-22,54
Antigua and Barbuda,Apr-22,135
